Entity,Year,Unsafe_water_source,Unsafe_sanitation,No_access_to_handwashing_facility,Household_air_pollution_from_solid_fuels,Discontinued_breastfeeding,Child_wasting,Child_stunting,Low_birth_weight_for_gestation,Secondhand_smoke,Alcohol_use,Drug_use,Diet_low_in_fruits,Diet_low_in_vegetables,Unsafe_sex,Low_physical_activity,High_fasting_plasma_glucose,High_body-mass_index,High_systolic_blood_pressure,Smoking,Iron_deficiency,Vitamin_A_deficiency,Low_bone_mineral_density,Air_pollution,Outdoor_air_pollution,Diet_high_in_sodium,Diet_low_in_whole_grains,Diet_low_in_nuts_and_seeds
Belarus,1993,46.74892225,34.26813638,46.33310906,896.7248193,2.714728573,177.1633963,18.12475747,514.0230887,3035.059957,11426.1909,818.3037658,10859.0202,8000.238254,674.5366255,5297.826556,14480.47336,16387.61078,42832.31498,26100.44222,7.791554157,3.430020754,287.3446915,10500.68552,9722.98,9413.112139,14975.38437,10529.16515
Belarus,1994,47.06377178,34.12138613,46.0320302,862.7949637,2.667298428,163.5737658,16.44061862,483.9564184,3059.531135,12004.61514,864.2582446,11129.72029,8201.296203,685.1602829,5417.480166,14665.26577,16848.78687,43918.9445,26459.6442,7.553189189,3.16778746,295.531752,10586.52914,9839.74,9407.851171,15341.74093,10802.56637
Belarus,1995,47.15542147,33.86507602,47.08587771,840.0351521,2.5515526,152.6982065,14.8941817,451.4187244,3163.149027,12916.85991,925.2962032,11676.71015,8567.551526,705.5944559,5617.535818,15163.08843,17712.55218,45844.4952,27504.45897,7.017190431,2.925093477,313.5412002,10918.1402,10193.65,9739.457566,16035.06896,11287.27372
Belarus,1996,44.14172492,31.41667693,46.24603849,786.5089692,2.35772095,139.8307898,13.33374986,416.4952713,3139.835771,13262.65933,940.8608655,11720.58264,8560.604587,683.2676475,5627.332875,15219.30551,17905.55147,46074.22559,27301.13495,7.37165309,2.679912777,315.3640518,10861.1193,10186.19,9693.415387,16056.52187,11311.35668
Belarus,1997,42.08656519,29.69899518,46.18278408,746.350427,2.200541159,129.8079331,12.05512132,386.7855149,3191.898211,13984.06285,991.2340342,11941.02318,8659.676603,696.8725057,5722.423362,15607.60353,18487.48528,47069.6339,27505.12388,7.848427289,2.492322115,326.1948461,10993.02943,10356.01,9772.003431,16363.4384,11522.84031
Belarus,1998,40.94441581,28.68110023,46.07421562,709.7337882,2.112054552,120.3442722,10.87585213,365.4419181,3262.411193,15067.49426,1054.999643,12267.62625,8812.826699,678.4012342,5869.328169,16169.92708,19227.21249,48540.01011,28225.46132,8.050017139,2.341270502,339.8363161,11238.96889,10637.15,9947.102888,16856.72814,11890.46553
Belarus,1999,38.5895725,26.8777445,45.6067675,690.4019583,1.964575741,112.953423,9.861344614,347.9603072,3374.258742,15822.13657,1135.174366,12639.54881,9029.552008,716.1898074,6116.307273,16933.89243,20129.6455,50551.76043,28820.5288,7.346054478,2.207939744,352.0501977,11561.37579,10977.46,10168.10953,17508.68582,12416.54465
Belarus,2000,30.59940806,21.50727572,39.53074592,618.3262391,1.615523437,100.0790047,8.494185403,330.556915,3197.194706,15184.18738,1117.302953,11968.52841,8455.768202,640.7689287,5865.168529,16275.11562,19447.66413,48519.45799,27263.00835,7.497246123,1.89372828,333.8415413,10935.2968,10413.64,9637.013177,16715.32731,11901.44994
Belarus,2001,25.77723231,18.30335844,36.35937162,601.8725964,1.326971772,87.47350807,7.072296162,311.9917392,3325.164906,16036.60348,1209.10622,12535.53867,8734.667397,663.1955954,6200.655471,17054.83845,20702.70824,51437.15551,28556.48281,6.423513968,1.583284722,353.2986831,11491.81287,10985.55,10052.04185,17707.23476,12648.4006
Belarus,2002,17.74216034,12.74452796,32.92400002,587.9048337,0.875623493,73.03587246,5.740179916,295.777374,3449.351904,16793.2081,1378.912364,13121.12552,8986.560244,739.3294806,6562.63938,17769.89871,22104.28355,54668.4703,29651.95486,4.681965517,1.209719775,379.7850421,12032.53933,11535.47,10532.11994,18776.13082,13429.01904
Belarus,2003,13.8115486,10.0443233,28.89722896,526.0611784,0.662023105,64.07018561,4.912061413,284.1749142,3284.429178,16193.5386,1395.565341,12565.91448,8461.311086,736.1118074,6443.973626,17114.4828,21603.26825,53453.78227,28448.61128,4.374556571,0.989841112,370.8508863,11597.85031,11152.03,10202.34989,18252.59549,13130.05266
Belarus,2004,11.16144435,8.21953975,26.27430251,474.9482249,0.499995127,57.63249208,4.262740451,274.63095,3192.067853,15657.01287,1358.332261,12237.78368,8009.147177,722.6859049,6399.536732,16709.53265,21378.44905,52775.86694,27621.52282,4.74320498,0.820787261,368.4506044,11350.63824,10950.53,10021.18349,17972.55314,12943.30715
Belarus,2005,8.943126419,6.676302794,24.52876696,448.5912976,0.364010025,51.52801544,3.679588191,265.4735675,3210.224431,16006.98838,1415.032082,12249.63546,7792.762023,726.9255159,6546.271295,16939.36122,21916.42461,53880.41336,28132.95758,4.500090207,0.678563524,379.2263237,11478.33576,11100.02,10180.89614,18325.92301,13228.59172
Belarus,2006,7.045560611,5.392451458,22.24836615,375.766976,0.260316133,45.32625782,3.133401769,255.9492343,3072.679651,15526.78776,1420.408259,11559.40611,7167.164821,740.7736065,6421.149024,16441.48895,21348.27653,52409.83031,26936.356,3.633382741,0.559009396,371.0357064,11040.85479,10727.9,9885.573313,17697.47455,12833.39189
Belarus,2007,5.606634844,4.374288377,20.04552651,315.1875567,0.185219065,39.37145612,2.572431123,248.9365309,2902.202085,15047.16491,1436.720232,10734.3662,6461.378322,749.5978672,6211.802951,15671.3461,20553.44794,50240.10175,25542.4175,2.255743381,0.450722772,359.0000425,10464.90208,10205.68,9450.625798,16812.32107,12225.19637
Belarus,2008,4.933493594,3.934244882,19.02730393,277.6391673,0.136331974,34.48175144,2.307304563,238.1924263,2871.940031,15729.86691,1449.028037,10467.23146,6071.353197,765.4430827,6273.93798,15597.0099,20739.9103,50419.75994,25842.50166,2.759959993,0.395544487,365.5501427,10423.14819,10197.19,9489.329872,16785.34214,12256.17463
Belarus,2009,4.808659123,3.931301611,18.87715926,243.4597761,0.126525877,32.02568016,2.033504388,231.8596985,2890.498071,16290.4166,1495.600909,10458.96581,5825.970351,807.7399282,6417.267361,15713.44877,21164.32232,51164.88457,25984.26427,2.949658119,0.351509067,366.2724396,10460.87472,10264.9,9592.583205,16946.03552,12399.97027
Belarus,2010,4.726678598,3.961859244,18.10938312,220.0269478,0.118841842,31.84707788,1.841781085,225.0363455,2893.882997,17205.53158,1560.151172,10322.27702,5546.683421,813.318759,6490.220963,15801.88378,21505.34096,51580.23328,26477.24189,2.943844713,0.321849834,361.8349444,10481.4337,10305.51,9655.88237,17036.57595,12497.56461
Belarus,2011,4.932150628,4.07617014,17.8509984,195.6427997,0.116158423,30.33096018,1.620611963,216.7055523,2919.025673,17678.95698,1578.930919,10220.34192,5306.122603,857.9579964,6617.532089,16066.5202,21941.83165,52412.20229,26640.38092,2.959514737,0.287888449,364.3089819,10488.74821,10334.45,9755.921789,17241.65223,12660.89299
